news_content,impact_type
"Even today, ""they provide 700,000 people with drinking water. Farmers are among the richest in the region, with three harvests a year. And five rivers that no longer exist are flowing again,"" enthuses Bénédicte Manier. In March 2015, Rajendra Singh was awarded the prestigious Stockholm Water Prize (the ""Nobel Prize for Water"") for demonstrating that desertification and rural poverty are not inevitable.",Opportunity
"Waste: in its ""circular economy"" section, the law also includes several provisions designed to limit the use of resources. The aim is to halve the amount of waste sent to landfill by 2025. To achieve this, disposable and non-compostable plastic bags will be banned from January 1, 2016, supermarkets will have to donate their unsold food to associations, and programmed obsolescence will be penalized.",Opportunity
"Four years after the Fukushima tragedy, contaminated waste is piling up. Millions of cubic meters of soil and irradiated plants are piled up in plastic bags, hundreds of thousands of liters of radioactive water are stored around the plant... And no one knows how far the three melted reactor cores have sunk.",Risk
"The government has also turned to less clean sources of energy, notably thermal power, which uses fossil fuels. ""Thermal power plants ensure our energy production, particularly in times of drought, when they can take over,"" explains Franklin Miguel, energy specialist at the Getulio Vargas Foundation.",Opportunity
"In the Republic of Sakha, or Yakutia, freezing winters don't stop the sun from shining. Over most of its territory, equivalent to half of Europe, the Russian region is experimenting with the installation of photovoltaic panels for its many isolated villages, which until now have been heated and lit by small diesel power plants. In this region, only large population centres are connected to the electricity grid.",Opportunity
"Almost three times as much by 2020, while rivers in eastern China are already saturated. To achieve its goal, the government has revived controversial dam projects in the Himalayas. After the Mekong, it's the Yarlung Tsangpo River that's in the authorities' sights. Known in India as the Brahmaputra, it rises in south-western Tibet and flows eastwards through half the province. In this area, the river has formed the world's deepest valley, known as the ""Great Bend"". Reinforced by a 2800 m difference in altitude over 500 km, it develops an enormous power that has not escaped the attention of Chinese engineers.",Risk
"Downstream of the Yarlung, it's the neighbors in India and Bangladesh who fear drought. The Brahmaputra is essential to agriculture, particularly in the Assam region, which it waters and fertilizes with its silt. China defends itself by arguing that most of the works will be ""run-of-river"" dams, i.e. without any major impoundment. At the end of the chain, Bangladesh feels caught in a vice, as India plans to build over a hundred dams of various sizes on the river and its tributaries. The river will then have one of the highest concentrations of dams in the world.",Risk
"Alain Fradin, General Manager of the Confédération Nationale du Crédit Mutuel, brandished a standard application file: ""48 pages to fill in and if you make a mistake on a single line you don't get the 17,000 euros. Account managers have finally given up offering it!"" A simplified procedure should soon be adopted to boost the take-up of these loans.",Opportunity
"On Wednesday January 11, the French Economic, Social and Environmental Council (Conseil économique, social et environnemental - Cese) adopted an opinion on sobriety, with the aim of encouraging its development in society and in our lifestyles. A sign that the subject, which was still taboo a year ago, is becoming more democratic. Among the twenty or so recommendations are the need for a positive narrative to emerge, the organization of a national debate on the distribution of efforts, and the importance of negotiating the organization of work.",Opportunity
"A national debate on how to share the effort
""When we launched our work less than a year ago, there was a great deal of principled and ideological opposition to sobriety. But we were able to take a step towards each other to reach a consensus and agree that it is an essential element of the ecological transition,"" analyzes Sylvain Boucherand, Chairman of the Cese's Environment Commission. This opinion is the first step towards developing a policy of sobriety that will enable us to meet both environmental challenges and social inequalities"".",Opportunity
"SNCF controllers have mobilized on a Facebook page, in the manner of the Gilets jaunes. Although they took advantage of the legal framework of the strike notice filed by the unions, their movement went beyond staff representatives. These collectives mobilizing on social networks are on the rise, and illustrate the emergence of new forms of social protest.",Risk
"""Management hasn't managed to grasp the full extent of this malaise, and neither have the unions,"" says Stéphane Sirot, a historian specializing in labor relations, on France Inter. ""It's a movement that questions the institutional aspect of labor relations, which is having trouble capturing the expectations of a certain number of employees,"" he adds.",Risk
"Unions less close to the ground
An observation shared by SNCF unions, according to whom the 2018 reform that created the Comité social et économique (CSE) by merging the former works councils and Comité d'hygiène, de sécurité et de conditions de travail (CHSCT), has weakened labor relations in companies by distancing unionists from the field. ""Elected representatives have to deal with wider areas, and are caught up in compulsory negotiation processes that take up a lot of their time. This makes it harder for trade unions to mediate in the field,"" says Stéphane Sirot on France Inter.",Risk
"This lack of representation in the workplace is giving rise to demands from categories of staff who are struggling to make themselves heard. In early December, another Facebook-based collective, ""Doctors for Tomorrow"", also made its presence felt. Describing itself as ""apolitical and asyndical"", and with several thousand members on the social network, it called for a strike on December 1 and 2 to demand a doubling of consultation fees.",Opportunity
"At the SNCF, negotiations between unions and management have finally reached a successful conclusion, and the unions have lifted their strike notice for the New Year's Day weekend. However, the next test for the social climate is likely to come very soon. After the end-of-year wage negotiations, the presentation of the pension reform package on January 10 could once again give rise to new demands...",Risk
"Some are refusing to pay their energy bills, others are calling for wage increases... The return of inflation in Europe in 2022, after years of stability, is weighing heavily on the most vulnerable. Europe's citizens have been taking to the streets since the summer to express their dissatisfaction with the rising cost of living. As the year draws to a close, Novethic takes a look back at a selection of key events.",Risk
"Serial social tensions in Europe
Across Europe, social movements have emerged over the past year to protest against the rising cost of living. In the UK, a citizens' movement called ""Don't pay"" was launched this summer. It encourages the English to pledge not to pay their energy bills in protest against price rises. Above all, the country has been experiencing an unprecedented wave of strikes since the summer. Railway workers, customs officers and even nurses have decided to go on strike in the summer of 2022. After a brief truce during the funeral of Queen Elizabeth II, the strikes resumed in the autumn. The last few days of December promise to be particularly hot across the Channel.",Risk
"In Belgium, Austria, the Czech Republic, Germany... social movements have been multiplying all over Europe, calling for wage increases to keep pace with inflation. Tensions on the job market in many countries since the post-Covid recovery have indeed led to wage increases. But this was limited to 3.8% in Europe, according to figures compiled by the European Central Bank. A far cry from the 10% rise in prices...",Risk
"The end of December is proving to be a tense time in the UK. Strike action in a number of public sectors is emerging as the year draws to a close. Nearly a million British workers are expected to go on strike between now and December 31 to protest against the rising cost of living and stagnating wages. According to October figures, inflation in the UK exceeded 11% year-on-year.",Risk
"""No longer turning a blind eye to our value chains"".
Among these countries, France takes the inglorious title of second European country contributing most to modern slavery in the minerals sector, essential to the energy transition and digitization of our economies, behind Germany and ahead of Italy, according to another report published in mid-November by SDSN. A third of forced labor cases generated by European imports are located in North Korea, and 17% in Nigeria. ""Guillaume Lafortune reminds us: ""The message is not to say that we should repatriate everything back home, but that it is essential to stop turning a blind eye to our value chains.",Risk
"""Whether it's chips for virtual reality or cells for solar panels, these transitions will be powered by raw materials. Lithium and rare earths have already replaced gas and oil at the heart of our economy [...]. This is where our trade policy comes in. New partnerships will advance not only our vital interests, but also our values"", insisted Ursula von der Leyen, President of the European Commission, in her State of the Union address on September 14.",Opportunity
"Electric scooters, smartphones, food processors... 70% of French people associate Black Friday with excess and over-consumption, according to a study conducted by Harris Interactive for Green Friday and Maif. And they're not wrong. 53.6 million tons of electronic waste - the equivalent of 11 Cheops pyramids - were produced worldwide in 2019, including 12 million tons in Europe, according to the ""Global E-Waste Monitor"" report produced by several UN organizations.",Risk
"""Many product categories remain too unsustainable""
This progress has inspired the European Commission, which published a circular economy package in March, fleshed out this summer by a draft regulation on cell phones and tablets. This introduces a reparability score and new requirements on product construction. But consumer associations point to several limitations. One of the main ones is the failure to take into account the price of spare parts, an essential criterion included in the French reparability index.",Risk
"This Wednesday, November 23, workers at the Foxconn factory in Zhengzhou, central China, protested against the total confinement of the site due to Covid-19. Apple's main subcontractor thus finds itself at the heart of a new controversy, as social discontent mounts throughout the country in the face of the government's drastic health policy.",Risk
"It was at this huge industrial site, which usually employs some 200,000 people, most of whom live on site in dormitories, that protests broke out on Wednesday November 23. ""Let's defend our rights!"" call the employees, faced with the chaos and disorganization reigning on site.",Risk
"And with good reason: faced with an increase in the number of Covid-19 cases in recent months, the company decided to confine workers inside the factory. This untenable situation prompted hundreds of panicked workers to flee on foot in early November. To maintain production, Foxconn offered substantial bonuses to remaining employees and tried to recruit new workers by calling on members of the Chinese Communist Party and local villagers.",Risk
"A new scandal for the electronics giant, China's largest private-sector employer, with over a million employees across the country in some thirty factories and research institutes. Foxconn, Apple's main subcontractor, is regularly criticized for its poor working conditions.",Risk
"For several months now, China has been pulling out all the stops to secure its industrial production, while maintaining a highly restrictive zero Covid-19 health policy. But between strict confinements, mandatory quarantines for those testing positive and almost daily PCR tests, public discontent is growing.",Risk
"32 major groups commit
The age of employees remains an adjustment variable for companies, who prefer to let older employees go first when downsizing. However, some companies have introduced plans to keep people over 50 in employment. On March 10, 2022, at the initiative of Club Landoy, a demographic think-tank, and L'Oréal, 32 major companies signed a charter of ten commitments to promote the careers of seniors. These range from raising awareness throughout the company, to the development of seniors' skills, to recruitment ""at all career stages"".",Opportunity
"The government is considering the introduction of a senior index for companies. It would take into account factors such as the rate of training or recruitment of over-45s, the use of early retirement schemes, etc. This proposal comes from human resources directors, because it's difficult for them to make progress on something that isn't measured,"" analyzes Stéphanie Lecerf. We're in favor of it in principle, even if a single index on diversity within the company should suffice.""",Opportunity
"The population's uprising was put down in blood, and the civil society organizations behind the protest, including the NGO Viasma, were destroyed. Founded in 1996 by Ales Bialiatski, who has just been awarded the Nobel Peace Prize while in prison for obscure tax reasons, Viasma has supported the struggle for human rights and democracy in Belarus for over 20 years.",Risk
"The Paris Court of Appeal has reduced the sentences handed down to Didier Lombard, ex-CEO of France Télécom, and his number two Louis-Pierre Wenès. But it confirms the institutional moral harassment put in place by the group's managers in 2007-2008 to push employees to leave, which had led to a wave of suicides in the company.",Opportunity
"It took more than ten years for the case to reach a conclusion. The Paris Court of Appeal has convicted former France Télécom executives of institutional moral harassment. It confirms a ruling by the Correctional Court on December 20, 2019, which had for the first time validated this notion. The sentences of Didier Lombard, ex-CEO of France Télécom, and his number 2 Louis-Pierre Wenès were lightened, and they were each granted a total suspension of their one-year prison sentences, but they will still have to pay a fine of 15,000 euros. The group's former HR director, Olivier Barberot, who had also been sentenced by the criminal court to a year's imprisonment, eight months of which were suspended, and a fine of 15,000 euros, did not appeal.",Opportunity
"The court ruling comes more than ten years after the fact. In 2007-2008, the management of the group, which has since become Orange, implemented an ""unbridled"" downsizing policy. The group announced a redundancy plan aimed at cutting 22,000 jobs over three years, out of a total workforce of 120,000. Didier Lombard had described to group executives his determination to push employees out ""one way or another, through the window or the door"". The company's brutal methods had greatly deteriorated the social climate, triggering a wave of suicides.",Risk
"There are two dimensions to the human rights NGO's campaign against Meta in Burma. The first is to support the Rohingya in their fight for redress against the company. Their organizations began by addressing Meta directly, suggesting that it invest one million dollars in education programs in refugee camps in Bangladesh. Their request for funding (0.002% of Meta's $46.7 billion profits in 2021) was curtly refused on the grounds that ""Facebook does not participate directly in philanthropic activities"".",Risk
"In the wake of these revelations, which have sparked outrage, Facebook is trying to defend itself. The Meta Group (Facebook's parent company) claims that the search warrants it received from police ""did not mention abortion at all"" and came to it before the US Supreme Court's decision to strike down the federal right to abortion. ""Nothing in the valid warrants we received from local law enforcement in early June, before the Supreme Court decision, mentioned abortion,"" says Facebook spokesperson Andy Stone.",Risk
"After the questioning of the legality of abortion, experts immediately wondered about the position of tech giants, confronted with authorities seeking information on social media accounts. Fears about the use of private data are all the more acute as some conservative states are preparing legislation to give the same rights to a fetus as to a human from the moment of fertilization. So far, few tech giants have commented on their data protection strategy in this case. Yet these are fundamental ethical issues that are an integral part of any CSR policy.",Risk
"Sanofi is offering around 30 medicines at cost price in some 40 poor countries, most of them in Africa, but also in Syria and Asian countries such as Cambodia and Burma. The pharmaceutical giant has undertaken not to make a profit on remedies for common illnesses such as diabetes, cardiovascular disease, tuberculosis, malaria and cancer. These drugs are ""considered essential by the World Health Organization"" and ""cover a wide range of therapeutic areas"", Sanofi asserts. They include insulin and other molecules such as glibenclamide and oxaliplatin.",Opportunity
"Other laboratories get involved
Sanofi isn't the only laboratory to take action on behalf of poor countries. Last May, competitor Pfizer pledged to sell some of its medicines and vaccines at cost price to 45 poor countries, notably against Covid-19. In addition, the International Federation of Pharmaceutical Manufacturers and Associations (IFPMA), which brings together 38 major pharmaceutical companies, has made a proposal to the G7 and G20, dubbed the ""Berlin Declaration"", which promises to guarantee more equitable access to medicines for disadvantaged countries during future pandemics. ""We are ready to reserve an allocation of production time for these populations"", announces IFPMA. In return, the organization is calling for the maintenance of patents, which were recently lifted by the WTO on Covid vaccines.",Opportunity
"""Heavy consumers of ultra-processed foods are at greater risk of developing chronic diseases: type 2 diabetes, cardiovascular disease, obesity, irritable bowel syndrome..."", Anthony Fardet, a researcher in sustainable and holistic preventive nutrition at INRAE, reminds the association. While criticism is mounting, the market, boosted by the French's concern for the environment and animal welfare, is gaining momentum. According to Barclays Bank, plant-based substitutes will account for 10% of the meat market by 2030, compared with 1% today.",Opportunity
"Since Trump's election, the United States has been divided between Republicans and Democrats, and the divides seem irreconcilable. Businesses are part of this debate, which has taken on new importance with the Supreme Court's decision. Their funding of ""pro-life"" political leaders opposed to abortion is accused of encouraging the disappearance of this constitutional right. 13 multinationals, including Amazon, Coca-Cola and Walmart, are accused of having paid more than $15 million to elected officials, including the governors of the seven states that banned abortion on June 24. These states are Missouri, Arkansas, Oklahoma, South Dakota, Indiana, Tennessee and Texas. The latter state, the world's ninth-largest economy with a GDP of $1,900 billion, is home to multinationals such as Exxon, Dell Technologies, Texas Instrument and AT&T. At least two of these, AT&T and Exxon, are among the companies targeted for the hundreds of thousands of dollars given to anti-abortion politicians.",Risk
"For the moment, data from these apps is sold ""only"" for targeted advertising, but some conservative states are preparing legislation to give the same rights to a fetus as to a human from the moment of fertilization. This data could therefore help to incriminate mothers, and many women are recommending that these apps be deleted.",Risk
"This dark scenario has been written into several dystopian series, but today it's no longer fiction. The fundamental ethical questions that are an integral part of a CSR policy are taking on a new dimension with the repeal of the right to abortion. For the time being, they are being asked of American companies, but those operating in Poland may have similar questions about the rights to be granted to their female employees.",Risk
"In your book, you criticize responsible consumption, seeing it as an alibi for pursuing a hyper-consumerist system. Why is this?
Responsible consumption means reconciling social and environmental issues with our desire for comfort. This means that we want to continue consuming in our daily lives, but choosing products or brands that promote progressive values in line with the environmental transition. But the brands and consumers of these products don't value consuming less. They value consuming better, consuming differently. It's a way of modernizing the hyper-consumption of the last century.",Risk
"The National Assembly is a management committee
""The National Assembly, if you compare it to the private sector, is not a company, it's a management committee in terms of power, remuneration... Now, after the Copé-Zimmermann and Rixain laws, we know that parity is a question of justice and performance. There's a dissonance here between what MPs vote for and the fact that they don't apply this principle to themselves"", explains Marie Donzel. The hemicycle thus remains a mecca for male socializing.",Risk
"""Once the 'normal' conditions of the elections return (no more new conquering parties), the reflexes of the male entre-soi re-emerge"", establishes feminist philosopher Camille Froidevaux-Metterie. ""Men squat in positions of power, thereby preventing a greater diversity of candidates,"" explains the professor of Political Science at the University of Reims in Libération. Beyond the question of parity, there is also the question of representativeness and access to these high positions.",Risk
"Following in the footsteps of Spain, Iceland and New Zealand, liberal Britain is experimenting with a four-day week. This June, 3,000 employees from 60 British companies will be working a four-day week, with no loss of pay. In Japan, too, the idea is gaining ground, as it is in France, where over 400 companies have already spontaneously taken the plunge. The advantages of this new organization are numerous, provided that the transformation is well prepared, warns Dominique Méda, a work sociologist.",Opportunity
"In France, too, the idea appeals. According to a study published in May by ADP, 64% of French employees would like to be able to condense their working week to four days, a figure up four points on 2019. For employees, the advantages of this organization are numerous. ""A majority of employees consider that the reduction in working hours has improved their living conditions both at work and outside work,"" notes Dominique Méda, a sociologist who conducted a survey with Dares after the switch to the 35-hour week.",Opportunity
"In addition, the decree published in December delays the implementation of the scheme by spreading its ramp-up over six years. The amount of the fund for electrical equipment is thus set at 20 million euros in 2022, with a gradual annual roll-out up to 102 million in 2027, i.e. half the amount that would have been necessary according to Ademe. The NGOs deplore the inadequacy of the overall financial envelope: ""far from the ambition of the anti-waste law (passed in early 2020) which created the fund, this text goes against the principle of environmental non-regression as well as national waste reduction targets"", they judge, believing that ""the government has sabotaged an ambitious tool"".",Opportunity
"Less than 10% of electrical and electronic items are repaired
For its part, the French Ministry of Ecological Transition defends its position, arguing that ""this 10% contribution does not condition the final percentage of the cost"" of repair for the consumer, which could be higher, depending on the product. ""This is what emerges from the proposals submitted by the eco-organizations"", he notes. ""This adjustment in no way compromises the ambition of the repair fund, which is designed to extend the lifespan of many everyday objects used by the French,"" insists the Ministry.",Opportunity
"She continues: ""It's hard. We have schools that tell us, and I'm not ashamed to say this on camera, 'if I find out that my trainee is working more than 35 hours a week, I'll have him or her stop your internship'. Well, after that, it's going to be hard for your intern to find a job and buy an apartment"", insists the entrepreneur. ""Because in the world I live in, if I don't work 80 hours a week, there's very little chance I'll have an apartment, a second home and maybe another one afterwards"".",Risk
"In January 2021, ""Balance Ta Startup"" published testimonials from former employees and trainees alleging ""moral harassment"" at start-up Lou.Yetu, a made-in-France jewelry brand. Thousands of Internet users called for a boycott of the brand. For Claire Despagne, the situation is now tense. According to Le Figaro, the outpouring on social networks has turned to harassment. People close to the entrepreneur claim that she has received ""physical threats against her, her family and members of the team"".",Risk
"Dubai's real-estate appeal is based on spectacular luxury constructions such as the palm-shaped Palm Jumeirah island, which houses the largest water park in the Middle East alongside luxury hotels and residences. One of the high-ranking Russian officials targeted by the international sanctions, Alexander Borodai, has a very large apartment in a residence that boasts swimming pools, restaurants, a heliport and round-the-clock security.",Risk
"Dubai turns a blind eye to the origin of the fortunes that invest on its territory, because it is a pure tax haven, i.e. it has no income tax, capital tax or corporate tax. Gabriel Zucman, associate professor at the University of California at Berkeley, who heads the European Union Tax Observatory, explains to Le Monde that: ""The risk is that real estate in Dubai will replace the Swiss account as a tax avoidance or wealth concealment strategy"". In his view, this should prompt regulators to include real estate in tax regulations, as it is not covered by the automatic exchange of information between states that forms the basis of the international fight against tax fraud.",Risk
"""Two major consumer trends are emerging. Those who buy less to absorb inflation a little, with a reduction in pleasure products such as confectionery, hygiene or beauty products, and those who buy less expensively. The latter are turning to private labels and discount brands. We're also seeing strong growth in first-price products,"" explains Emily Mayer, FMCG specialist at IRI. This situation will further slow down the consumption of organic products, which are 40-45% more expensive than conventional products, and which have already been on the decline since 2021. And, overall, forecasts for the coming months are not good.",Risk
"""After the commitment of employees throughout the pandemic, gestures from the company are still being awaited, which is crystallizing the anger of staff,"" he explains. ""Employees are simply asking for payment for their work, which, let's not forget, was considered essential during the pandemic"", CGT representatives hammer home. Amazon's management defends itself by claiming to have ""offered salary increases above the average for the Transport and Logistics branch, as well as other benefits"". But social discontent is also fueled by a 57% leap in Amazon's profits to $33 billion by 2021.",Risk
"While President Joe Biden welcomed the initiative, management continues to oppose it. It believes that the small group of unionists has ""threatened"" its warehouse employees to force them to vote in favor of the creation of a union. ""This is absurd"", reacted lawyer Eric Milner on behalf of the union. The company has pursued a very active anti-union policy since its creation in 1994. It had always succeeded in fending off any desire on the part of employees to form unions in the country.",Risk
"Shareholders fear this situation and are putting a question on the agenda of Amazon's next general meeting concerning the treatment of employees. A situation not unlike that of Starbucks, which also recently saw the birth of its first union. Shareholders have just asked the coffee chain's CEO, Howard Schultz, to accept unions in order to better retain employees for the long term. Times are definitely changing!",Opportunity
"What would this time bank consist of?
It would be a bank owned by the worker, not the employer, and would enable the creation of a time savings account linked to the individual and transferable from one job to another. The idea is to place time entitlements (RTT, paid leave, etc.) in this account, or to convert bonuses or overtime premiums into time. The account would also be funded by companies or the State. It could be used at the worker's discretion, at any time in his or her life, to carry out a personal project, look after the family, or simply to reduce working hours and switch to a four-day week for a given period.",Opportunity
"The aim is to enable people to find a balance between their professional and private lives, so as to live better, which is what the Power of Living Pact is all about. This is particularly in demand among young people. In addition, we may want to work a lot at the start of our career because we're full of energy, and then eventually slow down with the arrival of children in particular. Life isn't linear; we're not machines.",Opportunity
"Would this change the place of work in our society?
Time devoted to work has structured our lives, and we've organized our other time around it. This has led to burn-outs, a loss of meaning, and a weakening of democratic life. Every day, millions of volunteers mobilize in France. They constitute an essential substratum for our society, and yet it's a time that isn't valued. The vast majority of these volunteers are retired, whereas at 40, you might still want to devote a day to your community or a sports association.",Risk
"Another form of discrimination is when it comes to hiring seniors. An agency called ""Embauche un vieux"" (""Hire an old man"") is also using humor to overcome this discrimination, with an advertising campaign under the slogan ""Vaccinate yourself against the fear of hiring an old man"". In a time of pandemics, it's a real eye-opener. Hire an old man seeks to dispel preconceived ideas about the effectiveness of people over the supposed age limit.",Risk
"89% of resignations are linked to burnout and a lack of managerial support. ""The real challenge is to rethink managerial models by giving employees more time and autonomy, to enable more authentic human relations at work"", argues human resources management professor Vincent Meyer. In the age of permacrisis, it's also a question of finding meaning in one's work. With the Covid-19 pandemic, climate change, terrorism, the war in Ukraine... the centrality of work is being called into question more than ever.",Risk
"Degrowth applied to work
""I'm part of a generation that heard the phrase 'you know, if you're not happy, there are 10 people who want your job'. Those days are behind us, and that's something to celebrate,"" writes Gaël Chatelain-Berry, a writer and lecturer specializing in HR issues. He believes that ""only companies that change their software from top-down discourse to active upward listening will succeed in recruiting and retaining talent"". If companies can activate levers, they are also faced with another phenomenon: detraining. A trend that involves working less to live better and ""save the planet"".",Opportunity
"""Our model of society, which is increasingly harmful to the living world, is based on the dominant form of work that is employment. We are immersed in a market economy, where growth is still predominantly targeted by organizations and institutions, and where the consumption of products and services must increase in order for the model to endure"", writes the Nantes-based collective Travailler moins, which organizes ""after-workless"" aperitifs, with some members experimenting with chosen unemployment or early retirement at the age of 30.",Risk
"For almost a year, they demonstrated in front of the company to contest their dismissals and raise public awareness. Management, however, has done everything in its power to extinguish this resistance. ""Let them [the strikers] stand outside the door for weeks if they want to! If you join them, we won't pay you your compensation"", plant management reportedly shouted to intimidate the other employees. ""On the 10th day of the resistance, I was working in the company and just because I said hello to my colleagues who were resisting outside, I had to hand in my resignation"", confides Sebahat Zengin, one of the 34 complainants.",Risk
"Is it possible for society to change?
The first basis for an ageing policy in France was laid in 1962. It was the first time that a comprehensive policy on ageing was envisaged. It raised the question of the place of the elderly in society, and that's the main thing. Since then, the question has never been asked again, and we've developed a whole raft of measures, a whole raft of laws, a whole raft of plans... only to resolve a small part of the issue.",Opportunity
"Today, we're all lucky enough to reach the age of 60. Aging will be our common lot, which was not the case in previous generations. The new generations of aging people will want to take charge of this issue tomorrow. They won't want to leave it to others to come up with answers that don't suit them. For older people today, old age is something they never thought about, and the solutions are imposed on them. The new generations are more imbued with values linked to autonomy and the desire not to have choices imposed on them by others. They are much more assertive about taking their destiny into their own hands. As the generations change, I think things can change. There's a dynamic that we haven't seen before.",Opportunity
"The two videos have been seen millions of times everywhere. Has this changed the balance of power between Russia and the rest of the world? Has it altered the perception of the enemy held by everyone who has seen them? The questions remain open, but Marina Ovsiannikova has shown the world that Putin cannot entirely control the information disseminated in his country. She may be risking her life to do so, but she now embodies courage alongside the Ukrainian president. Now it's up to her to make it viral...",Opportunity
"It's a powerful symbol. Operator Bouygues Telecom has just launched a new package, called Source, at 10 euros a month and limited to 10 Gigas. Each unused gigabyte is converted into a euro and donated to an association of the customer's choice. This ""responsible and supportive"" package goes against the grain of the current market, which is built around ever more aggressive, high-consumption offers of up to 7 euros a month for 100 gigas.",Opportunity
"""This initiative is part of a hummingbird approach, with everyone doing their bit"", explains Sophie Bodin, CEO of Lilo, ""Each giga not consumed represents 100 'drops of water' which have a virtual financial value. Users can choose to donate drops to the association of their choice,"" she adds. 1,000 associations are listed on Lilo, from Sea Shepherd to Médecins du Monde, from SPA to I-Boycott. ""Abundance has been the only key to entry over the last 20 years. At a time when there is a real awareness of environmental and social issues, this package makes sense"", says Sophie Bodin.",Opportunity
"""Promote peaceful and open societies for sustainable development"", orders Sustainable Development Goal (SDG) no. 16, which 196 countries committed to implementing in 2015. As Patrick D'Humière, a teacher at CentraleSupélec, points out, ""a company cannot operate in a country that violates international law, otherwise it is making a political choice that exposes it. But the second MDG also requires groups to ""eradicate hunger and ensure food security"", while the sixth requires them to ""guarantee universal access to water supply and sanitation services"". How can we reconcile the different aims of the 17 Sustainable Development Goals set to ensure peace and prosperity for people and the planet?",Opportunity
"On the one hand, ""Western consumers, investors and employees are increasingly uncomfortable with companies operating in corrupt regimes that do not respect human rights"", asserts Alison Taylor, Director of Ethical Systems, a research center at New York University, in a LinkedIn post. But these departures also cause collateral social damage, stresses the specialist. The example of Mastercard and Visa's suspension of operations in Russia is instructive in this respect, since these decisions were particularly detrimental to Putin's opponents, and the opposite of the American giants' objectives.",Risk
"Especially as values alone cannot justify Russia's withdrawal, explains Alison Taylor. ""If we say human rights are the problem in Russia, it's very hard to justify being in China right now,"" she tells the Financial Times. It's a time of choice for companies, who are under increasing pressure from politicians, employees, consumers and investors to take a stand. As a result, they have left Russia in droves, sometimes in a hurry. But to be responsible, it's not enough to apply the SDGs. You have to anticipate and consolidate your sustainable development policy before a major crisis occurs;",Risk
